"날짜","댓글","평점"
"2019-03-20 11:18","배경이나 음악도 좋고 개인적으로는 돈에 대한  가치나 일상을 유추적으로 잘 표현된거 같아요 은근 세상은..암튼 세련미와 현실소재라 제 세대를 잘 표현한거 같아요","10"
"2019-03-20 11:56","간만에 잼난영화 봤당~~ 감독 뭔데 캐스팅이 작살이지? 까메오도 최곤데?","10"
"2019-03-20 11:10","관람객
													
													
													
													
													
														
															
															
																재미있게 봤어요. 시간 가는 줄 몰랐어요","8"
"2019-03-20 10:55","처음 접해보는 주식이라는 주제로 지식이 없어서 당황할까 했는데, 내용도 이해가 잘되고 배우들의 연기에 감탄했어요!!","10"
"2019-03-20 11:43","관람객
													
													
													
													
													
														
															
															
																돈에 얽힌 얘기는 역시 꿀잼 ㅋㅋㅋ","10"
"2019-03-20 12:11","관람객
													
													
													
													
													
														
															
																
																	
																		주식을 몰라도 배우들의 연기를 따라가다 보면 시간 순삭! 배우들의 연기 호흡은 유쾌 * 감독의 연출은 상쾌 * 한 순간도 눈을 뗄 수가 없이 몰아치서 ""내 안의 가치로 세상은 얼마든지 아름다울 수 있다""...","10"
"2019-03-20 11:12","류준열 연기;; 감정 병화하는 단계의 연기는 진짜 소름 돋을 정도로 좋았어","10"
"2019-03-20 13:42","관람객
													
													
													
													
													
														
															
															
																주식 몰라서 좀 걱정했는데 전혀 상관없었고 재밌게 봤어요!!! 마지막장면 특히 좋았네요 여러 생각이 들게 됨. 류준열 배우 표정 변화에 따라 같이 몰입해서 봤어요.","10"
"2019-03-20 13:20","관람객
													
													
													
													
													
														
															
															
																재밋엇어요!시간순삭","10"
"2019-03-20 16:34","관람객
													
													
													
													
													
														
															
															
																왜 요즘 류준열이 대세인지 알겠네 ㅋㅋ","10"
"2019-03-20 12:31","관람객
													
													
													
													
													
														
															
															
																잼나게 봤음 알바아님 돈안아까워요","10"
"2019-03-20 22:54","관람객
													
													
													
													
													
														
															
															
																나는 앞에 숫자는 중요하지않다 뒤에 0만 7개붙었으면 좋겠다","10"
"2019-03-20 16:33","관람객
													
													
													
													
													
														
															
															
																한 청년이 변화되어가는 과정을 보는 재미가 쏠쏠","10"
"2019-03-20 09:15","9시에 평점1점 글이 올라왔는데 어떻게 조조로보고 나왔다는거지..?","10"
"2019-03-20 11:21","유지태 배우님 눈빛에 지렷어여...","8"
"2019-03-20 12:12","관람객
													
													
													
													
													
														
															
															
																재미없을줄 알았는데 그냥 쏘쏘 볼만하게 재밌긴한데결말 좀 아쉽고 막 명작이다 그정도급은 안되니킬링타임용으로 생가하고 보셈","8"
"2019-03-20 22:43","관람객
													
													
													
													
													
														
															
															
																감정연기들은 오바스럽지도 않고 적당하고 연기력들은 두 말 필요없는 배우들이라 재밌게봤네요","10"
"2019-03-20 12:53","관람객
													
													
													
													
													
														
															
															
																스릴넘치고 재밌네요 나중에 특집으로 방영하면 또 볼것 같아요 추천 드립니다","10"
